Case_ID,Offender_Age,Offender_Gender,Offender_Race,Crime_Type,Crime_Location,Prior_Convictions,Risk_Score,Arrest_Made,Bail_Granted,Case_Outcome
C1000,56,Female,Black,Assault,North David,3,3,Yes,No,Dismissed
C1001,69,Other,Black,Fraud,East Kathleen,3,3,Yes,No,Plea Bargain
C1002,46,Other,Hispanic,Fraud,New Lisa,9,2,Yes,No,Acquitted
C1003,32,Male,Hispanic,Vandalism,West Rebeccaton,3,10,No,Yes,Plea Bargain
C1004,60,Male,White,Vandalism,South Katiemouth,5,3,No,Yes,Convicted
C1005,25,Male,Other,Vandalism,South Cameronshire,8,1,Yes,Yes,Convicted
C1006,38,Female,Other,Fraud,Port Aaronburgh,4,4,No,Yes,Plea Bargain
C1007,56,Female,Other,Fraud,Port Scott,9,8,Yes,No,Acquitted
C1008,36,Female,Asian,Assault,Karlafort,7,5,No,No,Plea Bargain
C1009,40,Male,Black,Drug Offense,Brianberg,7,2,No,No,Acquitted
C1010,28,Other,Hispanic,Vandalism,Muellerburgh,3,3,Yes,No,Dismissed
C1011,28,Other,Other,Cybercrime,West Jennifer,9,1,Yes,Yes,Plea Bargain
C1012,41,Female,White,Assault,New Mollystad,8,2,Yes,No,Plea Bargain
C1013,53,Female,Other,Assault,Rodgersberg,8,1,No,No,Acquitted
C1014,57,Other,Black,Theft,South Scott,4,2,Yes,No,Dismissed
C1015,41,Other,Black,Vandalism,North Davidview,5,3,No,Yes,Acquitted
C1016,20,Female,Hispanic,Assault,West Jeremy,4,1,No,Yes,Acquitted
C1017,39,Female,Asian,Theft,Garrettland,2,9,Yes,Yes,Plea Bargain
C1018,19,Other,Hispanic,Cybercrime,South Jasonside,7,10,No,No,Plea Bargain
C1019,41,Male,Other,Cybercrime,Charlesshire,8,5,No,Yes,Acquitted
C1020,61,Female,White,Vandalism,Lake Courtney,3,8,Yes,Yes,Convicted
C1021,47,Other,Hispanic,Fraud,South Jennifer,8,5,No,Yes,Convicted
C1022,55,Other,Asian,Theft,North Seanfurt,8,8,No,Yes,Convicted
C1023,19,Other,Hispanic,Fraud,Andreahaven,6,7,Yes,Yes,Plea Bargain
C1024,38,Other,Black,Cybercrime,Kellershire,7,4,Yes,Yes,Plea Bargain
C1025,50,Male,Other,Cybercrime,Odomside,2,7,Yes,No,Dismissed
C1026,29,Other,Other,Drug Offense,Leahburgh,4,6,No,No,Plea Bargain
C1027,39,Female,Other,Drug Offense,Kennethstad,2,3,No,Yes,Dismissed
C1028,61,Male,Other,Drug Offense,East Vincent,6,9,No,No,Plea Bargain
C1029,42,Other,Other,Drug Offense,Lake Ericmouth,5,10,Yes,Yes,Convicted
C1030,66,Male,Other,Assault,Rodriguezmouth,2,9,No,No,Convicted
C1031,44,Female,White,Drug Offense,Floreshaven,8,5,No,Yes,Acquitted
C1032,59,Other,Asian,Assault,East Anthony,0,8,No,No,Acquitted
C1033,45,Female,Other,Assault,East Jacob,9,7,Yes,Yes,Dismissed
C1034,33,Other,Asian,Vandalism,Smithbury,2,9,Yes,Yes,Dismissed
C1035,32,Other,Other,Assault,North Edwardberg,9,7,Yes,No,Acquitted
C1036,64,Other,Hispanic,Assault,Johnhaven,6,4,No,Yes,Dismissed
C1037,68,Other,Other,Drug Offense,Dickersonview,2,4,No,No,Plea Bargain
C1038,61,Other,Black,Assault,Dawnview,2,8,Yes,Yes,Convicted
C1039,69,Male,White,Fraud,Melissashire,1,6,Yes,Yes,Acquitted
C1040,20,Other,Hispanic,Drug Offense,Johnborough,8,9,No,Yes,Acquitted
C1041,54,Other,Hispanic,Theft,West Nathanielberg,3,10,Yes,Yes,Plea Bargain
C1042,68,Male,Black,Drug Offense,South Kevinton,9,7,No,No,Dismissed
C1043,24,Male,Other,Assault,Woodburgh,5,7,Yes,No,Acquitted
C1044,38,Male,White,Fraud,New Elizabethfort,1,4,Yes,No,Acquitted
C1045,26,Male,Hispanic,Drug Offense,Rebeccastad,8,3,Yes,No,Plea Bargain
C1046,56,Male,White,Fraud,West Davidfurt,6,8,No,No,Convicted
C1047,35,Male,Hispanic,Theft,Nancyland,9,7,Yes,Yes,Acquitted
C1048,21,Other,Other,Cybercrime,East Rodney,4,4,No,Yes,Acquitted
C1049,42,Other,Hispanic,Theft,Lake Johnview,6,4,Yes,No,Plea Bargain
C1050,31,Female,Hispanic,Cybercrime,Port Justin,3,1,Yes,Yes,Acquitted
C1051,67,Other,Asian,Vandalism,Hillshire,9,7,No,No,Acquitted
C1052,26,Other,Other,Cybercrime,Port Paulside,6,1,No,Yes,Convicted
C1053,43,Male,Black,Vandalism,Lake Steven,1,10,Yes,No,Acquitted
C1054,19,Male,Black,Drug Offense,Lake Patriciaberg,6,10,No,Yes,Plea Bargain
C1055,37,Other,Other,Vandalism,Zacharyfort,3,4,Yes,Yes,Convicted
C1056,45,Female,Black,Fraud,New Alexandraport,3,3,No,No,Convicted
C1057,64,Male,Other,Vandalism,New Michael,0,3,No,Yes,Convicted
C1058,24,Other,Black,Fraud,Juliestad,2,1,Yes,No,Dismissed
C1059,61,Other,Asian,Cybercrime,North Steve,4,4,Yes,Yes,Plea Bargain
C1060,25,Female,Black,Cybercrime,Melaniebury,4,1,No,No,Dismissed
C1061,64,Female,Hispanic,Cybercrime,East Brettport,1,8,No,Yes,Acquitted
C1062,52,Male,Other,Vandalism,Greenfurt,3,1,Yes,No,Convicted
C1063,31,Female,White,Cybercrime,Averyfurt,0,6,No,Yes,Dismissed
C1064,34,Other,White,Vandalism,Wolfeport,8,7,No,Yes,Acquitted
C1065,53,Other,Other,Vandalism,Duaneshire,0,10,No,No,Dismissed
C1066,67,Female,Asian,Assault,Murphyhaven,5,2,No,No,Convicted
C1067,57,Female,Black,Assault,Nathanbury,6,4,Yes,No,Acquitted
C1068,21,Female,Asian,Vandalism,North Natalie,2,3,Yes,No,Convicted
C1069,19,Female,White,Fraud,Starkfort,0,9,No,Yes,Convicted
C1070,23,Male,Other,Drug Offense,Mclaughlinton,6,7,No,Yes,Dismissed
C1071,59,Female,Other,Theft,Colestad,2,2,Yes,Yes,Plea Bargain
